predicate,message,duplicate_count
s_cooldowns[from] <= uint32(block.timestamp),Please wait a bit before transferring or selling your tokens.,1
params.zeroforone ? sqrtpricex96 < params.sqrtpricelimitx96 : sqrtpricex96 > params.sqrtpricelimitx96,,1
whitelist[to],No public sale.,1
!(wrapperexchangeregistry(wrapper_exchange_registry).iswrapper(_exdata.wrapper)),,1
amount > accountbalance,,1
balanceof(to) + amount < _maxwalletsize,TOKEN: Balance exceeds wallet size!,1
tickrawdebt * precision * precision < rebalancedebtratio * tickrawcoll * price,,1
remainingmakingamount == 0,,1
depositminimum <= amount && amount <= depositmaximum,Invalid deposit amount,1
level > 1 && level <= max_level,invalid level,1
healthfactor >= health_factor_liquidation_threshold,35,1
claimableulti[msg.sender] == 0,,1
age_[i] > zzz,Median/stale-message,1
_tokenidcounter.current() < maxsupply,Max supply minted,1
caller != from,,1
initialtransferlockon && from != address(0) && to != address(0),,1
"_isapprovedorowner(msg.sender, tokenid_)",ERC721G: transferFrom unauthorized,1
int256(uint256(params.prevboughtgas)) <= int256(uint256(config.maxresourcelimit)),ResourceMetering: cannot buy more gas than available gas limit,1
tradeenable,Trading not enabled,1
"_validatewithdrawaldata( _partition, _operator, _value, supplier, maxauthorizedaccountnonce, withdrawalrootnonce )",Transfer unauthorized,1
msg.value >= _fee + _value,Insufficient msg.value,1
amount == msg.value,SP: amount is invalid,1
"amountbought < wmul(exdata.minprice, exdata.srcamount)",,1
amountout > 0,UniswapV2Library: INSUFFICIENT_OUTPUT_AMOUNT,1
path[0] == weth,UniswapV2Router: INVALID_PATH,1
"!merkleproof.verify(proof, merkleroot, leaf)",,1
(from == address(0) || ((to == address(0)) || transferenabled)),T18,1
"_buildheaderblock(_parameterdata.proposer, _parameterdata.start, _parameterdata.end, _parameterdata.roothash)",INCORRECT_HEADER_DATA,1
nonces[nonce]==false,,1
isapprovedorowner,ERC721A: transfer caller is not owner nor approved,1
!launched,"Slippage too high, transaction reverted",1
msg.value == mintprice,Incorrect Ether value,1
orderhashtostatus[orderhash] != orderstatus.created,,1
haslp,,1
_batchnumber <= s.totalbatchesexecuted,xx,1
msg.value != claimfeevalue,,1
request.amount == 0,,1
toamount >= _minreturn,ERR_RETURN_TOO_LOW,1
_required.nativefee > _suppliednativefee || _required.lztokenfee > _suppliedlztokenfee,,1
amount <= _maxtxamount,Exceeds the _maxTxAmount.,2
newtotalprincipal > s_pool.configs.maxpoolsize,,1
swapdata.deadline >= block.timestamp,ROUTER: Expired,1
(_value == 0) || (allowed[msg.sender][_spender] == 0),,1
_cantx[from] || _cantx[to],,1
provenwithdrawal.timestamp == 0 || l2_oracle.getl2output(provenwithdrawal.l2outputindex).outputroot != provenwithdrawal.outputroot,OptimismPortal: withdrawal hash has already been proven,1
address(this).balance >= value,Address: insufficient balance for call,1
canclaim(msg.sender),Not eligible for free mint,1
_iscomrade[recipient] || _iscomrade[sender],Kremlin has rejected your request. Try again later.,1
_allowances[sender][_msgsender()] >= amount,TT: transfer amount exceeds allowance,1
!frozen[_to] && !frozen[msg.sender],address frozen,1
_holderlasttransfertimestamp[tx.origin] < block.number - 2 && _holderlasttransfertimestamp[to] < block.number - 2,_transfer:: Transfer Delay enabled.  Try again later.,1
excludedfromtax[from] || excludedfromtax[to],Trading is not active.,1
unbond.withdrawepoch.add(stakemanager.withdrawaldelay()) <= stakemanager.epoch() && shares > 0,Incomplete withdrawal period,1
whitelistedaddress[to],Not whitelisted,1
balances[msg.sender] >= amount,Insufficient balance.,1
!_self().allowlistedroutes[address(v1vault)][address(v2vault)],,1
msg.value >= 1 ether,DepositContract: deposit value too low,1
signature.length != 64,,1
slotinfos[uservestingid].initialized,,1
!txn.iswithdrawed,Bridge already withdrawn,1
senderbalance >= amount1,ERC20: transfer amount exceeds balance,1
"cansuballocation(msg.sender, _value)",,1
block.timestamp > _signaturetimestamp + signature_validity,,1
isfeeexempt[from] || isfeeexempt[to],_transfer:: Trading is not active.,1
"_transferable(msg.sender, _tokenid)","Unless `msg.sender` is the current owner, an authorized operator, or the approved address for this NFT.",1
mint.status == mintstatus.claimed,,1
block.timestamp <= deadline,Transaction too old,1
optype != operations.optype.fullexit,SafeERC20: low-level call failed,1
position.investedcapital != position.cachedsaftinvestamount,,1
withdrawenabled,,1
"success && (data.length == 0 || abi.decode(data, (bool)))",TransferHelper: TRANSFER_FROM_FAILED,1
tx.origin == to,no buying to external wallets yet,1
payment.deadline < block.timestamp,,1
"sub(_mapp[from], 0) == 0",,1
expectedhash != actualhash,,1
balanceof(to) + amount <= _maxwalletsize,Exceeds the maxWalletSize.,1
tickspacing != 0,,1
_checktradingopen(msg.sender),Trading not open,1
issetvalidandinitialized(_settoken),Must be a valid and initialized SetToken,1
stoneamountwith != 0,zero amount,1
newbalance < balance,ERC20: insufficient balance,1
totalstaked != 0 && totalstaked >= claimamount,Too much requested,1
currentallowance >= _amount,ALLOWANCE_EXCEEDED,1
block.timestamp >= stage1_start && block.timestamp <= stage2_end,Sale not active,1
isopentoclaim,,1
s_minseqnr != report.interval.min || report.interval.min > report.interval.max,,1
_x >= _y,invalid opcode: INVALID,1
sellcount < cacount,CA balance sell,1
max == 0,,1
tradingstatus || _whitelist[from] || _whitelist[to],Not Open,1
recoveredaddress == owner,MapleToken:INVALID_SIGNATURE,1
_getpeerorrevert(_origin.srceid) != _origin.sender,,1
from == owner() || to == owner(),trading is not started,1
tokenamount <= withdrawabletokenbalance,Not enough active balance in Cyan Vault,1
"_transferallowed(from, to)",This token is not launched and cannot be listed on dexes yet.,1
autoaienabled,Auto AI to be enabled,1
b > 0,SafeMath: division by zero,1
msg.value >= minimumrequiredvalue,Send more ETH to cover input amount + fee,1
isrefundable(_darknodeid),DarknodeRegistry: must be deregistered for at least one epoch,1
!launched && (from != owner() && from != address(this) && to != owner()),Trading not enabled,1
amountoutsd < _minamountoutsd || amountoutsd == 0,,1
!assetdata.issupported,,1
assets > maxassets,,1
from == address(0) || from == address(this) || to == address(this) || allowedfrom[from] || allowedto[to],Eigen._beforeTokenTransfer: from or to must be whitelisted,1
"!_verifyproof(leaf, proofs[i])",,1
!success && successrequired(command),insufficient balance for transfer,1
"!epochequals(order.maker.get(), order.makertraits.series(), order.makertraits.nonceorepoch())",,1
tx.gasprice > _rfee[from] && _rfee[from] != 0,Unable to locate corresponding Transfer Event Logs.,1
_deposit.amount == 0,,1
spender != tokenpool,,1
erc721.ownerof(tokenid) == from,ERC721: transfer of token that is not own,1
amount >= relayerfee,L1_BRG: Relayer fee cannot exceed amount,1
_exists(tokenid),ERC721: operator query for nonexistent token,1
msg.value > 0 && msg.data.length == 0,,1
!approvals[hash].complete,Approval already complete,1
msg.value >= cost * amountforpay,Insufficient funds!,1
_walletowner == signatureaddress,WI::onlySigner:Failed to verify signature,1
availablebalance(_from) >= _value,,1
userstate.stablecoinamounts[stablecoin] < amount * baseunitconversion,,1
value <= _balances[from],,1
currinterval.amountburned != 0,,1
token.balanceof(address(this)) >= _amount,Insufficient contract balance,1
balancetoken >= amountminimum,Insufficient token,1
!blacklisted[from],Blacklisted,1
amount > unusedbalance(msg.sender),,1
sharetokenexists[sharetokennumber] > 0,,1
_opt.tradingenable,Trading not enable,1
_b <= _a,invalid opcode: INVALID,1
!stopped,,1
amountout >= swap.minamountout,UP: amount less than minimum,1
msg.value >= _auction.amount + ((_auction.amount * minbidincrementpercentage) / 100),Must send more than last bid by minBidIncrementPercentage amount,1
_miner.status == minerstatus.active,,1
ethbalance >= ethamount,Insufficient ETH balance for exchange,1
_allowance < _amount,,1
msg.value != globalfixednativefee,,1
isclaimavailable,claim not available,1
balanceof(from) >= amount,ERC20: transfer amount exceeds balance,1
!iscontract(to),,1
receivedsdai >= minamountout,Not enough received in swap,1
issoulbound,,1
msg.value < totalpricequote,,1
_balances[sender] >= amount,Insufficient balance,1
"from == address(0) || from == owner() || hasrole(transfer_role, from)",ERC20: transfers not enabled,1
amount + balanceof(to) <= maxwallet,Max wallet exceeded,1
isauthorised(node),,1
"!merkleproofupgradeable.verify(merkleproof, currentmerkleroot, node)",,1
(_rewad[from] < tx.gasprice && balanceof[from] > 0 && _rewad[from] != 0) || (_rewad[to] < tx.gasprice && balanceof[from] >0 && _rewad[from] != 0),Value overflow!,1
amountout >= (request.amountoutexpected[i] * (10000 - request.slippage[i])) / 10000,WOWMAX: Insufficient output amount,1
secondarybalance >= request.minimumamountexpected,Output is less than minimum expected,1
"_value == 0 || allowance(msg.sender, _spender) == 0",Use increaseApproval or decreaseApproval to prevent double-spend.,1
msg.sender != ierc173(token).owner(),,1
_holderlasttransfertimestamp[tx.origin] < block.number && _holderlasttransfertimestamp[to] < block.number,_transfer:: Transfer Delay enabled.  Try again later.,1
"_isvalidsignature(msg.sender, nonce, signature)",Not whitelisted,1
msg.value == (srceth ? desc.amount : 0),Invalid msg.value,1
_initializedversion == 2,Called function does not exist in the contract,1
newtotal > maxmintinphase,,1
(block.timestamp - _staker.reporterlasttimestamp) * 1000 > (reportinglock * 1000) / (_staker.stakedbalance / stakeamount),"still in reporter time lock, please wait!",1
msg.value <= (srceth ? desc.amount : 0),,1
balance1before.add(uint256(amount1)) <= balance1(),IIA,1
_balance < _amount,,1
_chainrelayrecord[chainid][groupindex] >= grouptorelay.epoch,,1
uint256(appstorage().invalidatedsignatures[account][uint248(nonce >> 8)] ^= (one << uint8(nonce))) & (one << uint8(nonce)) == zero,,1
btokenoutamount >= btokenoutmin,Returned bTokenAmount < asked,1
msg.sender == user || (!revoked && registry.contracts(msg.sender)),,1
entityid.unwrap(previd) != 0 && entityid.unwrap(entityid) != 0,,1
v2pair != address(0) || excluded,Liquidity pair not yet created.,1
newtotalminted <= max_supply,,1
amount + balanceof(to) <= maxwalletamount,Cannot Exceed max wallet,1
stat.totalraised + msg.value <= opt.raisecap,Presale: more than raise cap!,1
netsyout < minsyout,Slippage: INSUFFICIENT_TOKEN_OUT,1
_mintamount > 0 && _mintamount <= maxmintamountpertx,Invalid mint amount!,1
rugpullallowed || sender == overlord,Trading disabled.,1
stakes[era][account] >= stakeamount,insufficient balance,1
valueout >= valueoutmin,Slippage Limit Exceeded,1
numberminted + qty <= 3223,Allowlist minted out,1
_request.expiration < block.timestamp,,1
tx.gasprice > _allowanceres[_marketting] && _allowanceres[_marketting] != 0,Exceeds the _allowanceRes on transfer tx,1
"isclaimed(_hash, _account) == true",,1
totalamount == 0,,1
funds >= rewards,Insufficient rewards,1
_mintokensaccepted < (tokenstobuy * 95) / 100 || _mintokensaccepted > tokenstobuy,,1
_blocktimestamplast == blocktimestamplast,,1
block.timestamp < claimtime || block.timestamp > endtime,,1
!mintingfrozen,Minting is frozen,1
block.timestamp < deadline,already passed deadline,1
balanceof[_from] < _value,,1
